Region,Age group,Gender,Year,value
 Sukhbaatar,30-34, Female,2012,93.1
 Sukhbaatar,30-34, Female,2011,83.9
 Sukhbaatar,30-34, Female,2010,84.0
 Sukhbaatar,30-34, Female,2009,96.0
 Sukhbaatar,35-39,Total,2025,86.9
 Sukhbaatar,35-39,Total,2024,93.6
 Sukhbaatar,35-39,Total,2023,93.8
 Sukhbaatar,35-39,Total,2022,87.9
 Sukhbaatar,35-39,Total,2021,85.6
 Sukhbaatar,35-39,Total,2020,96.0
 Sukhbaatar,35-39,Total,2019,87.5
 Sukhbaatar,35-39,Total,2018,89.4
 Sukhbaatar,35-39,Total,2017,91.1
 Sukhbaatar,35-39,Total,2016,88.7
 Sukhbaatar,35-39,Total,2015,95.9
 Sukhbaatar,35-39,Total,2014,89.2
 Sukhbaatar,35-39,Total,2013,81.5
 Sukhbaatar,35-39,Total,2012,96.3
 Sukhbaatar,35-39,Total,2011,93.5
 Sukhbaatar,35-39,Total,2010,85.6
 Sukhbaatar,35-39,Total,2009,91.7
 Sukhbaatar,35-39, Male,2025,98.0
 Sukhbaatar,35-39, Male,2024,96.5
 Sukhbaatar,35-39, Male,2023,96.2
 Sukhbaatar,35-39, Male,2022,96.5
 Sukhbaatar,35-39, Male,2021,88.1
 Sukhbaatar,35-39, Male,2020,93.8
 Sukhbaatar,35-39, Male,2019,91.1
 Sukhbaatar,35-39, Male,2018,93.9
 Sukhbaatar,35-39, Male,2017,91.9
 Sukhbaatar,35-39, Male,2016,95.9
 Sukhbaatar,35-39, Male,2015,100.0
 Sukhbaatar,35-39, Male,2014,93.3
 Sukhbaatar,35-39, Male,2013,81.5
 Sukhbaatar,35-39, Male,2012,97.6
 Sukhbaatar,35-39, Male,2011,95.3
 Sukhbaatar,35-39, Male,2010,87.2
 Sukhbaatar,35-39, Male,2009,92.0
 Sukhbaatar,35-39, Female,2025,75.2
 Sukhbaatar,35-39, Female,2024,90.1
 Sukhbaatar,35-39, Female,2023,91.7
 Sukhbaatar,35-39, Female,2022,74.9
 Sukhbaatar,35-39, Female,2021,82.4
 Sukhbaatar,35-39, Female,2020,98.3
 Sukhbaatar,35-39, Female,2019,83.2
 Sukhbaatar,35-39, Female,2018,85.5
 Sukhbaatar,35-39, Female,2017,90.4
 Sukhbaatar,35-39, Female,2016,82.8
 Sukhbaatar,35-39, Female,2015,91.3
 Sukhbaatar,35-39, Female,2014,84.6
 Sukhbaatar,35-39, Female,2013,81.5
 Sukhbaatar,35-39, Female,2012,95.2
 Sukhbaatar,35-39, Female,2011,91.8
 Sukhbaatar,35-39, Female,2010,84.3
 Sukhbaatar,35-39, Female,2009,91.4
 Sukhbaatar,40-44,Total,2025,94.4
 Sukhbaatar,40-44,Total,2024,94.4
 Sukhbaatar,40-44,Total,2023,94.2
 Sukhbaatar,40-44,Total,2022,89.0
 Sukhbaatar,40-44,Total,2021,98.2
 Sukhbaatar,40-44,Total,2020,70.6
 Sukhbaatar,40-44,Total,2019,91.8
 Sukhbaatar,40-44,Total,2018,90.9
 Sukhbaatar,40-44,Total,2017,83.0
 Sukhbaatar,40-44,Total,2016,90.5
 Sukhbaatar,40-44,Total,2015,98.3
 Sukhbaatar,40-44,Total,2014,84.2
 Sukhbaatar,40-44,Total,2013,88.8
 Sukhbaatar,40-44,Total,2012,94.0
 Sukhbaatar,40-44,Total,2011,91.1
 Sukhbaatar,40-44,Total,2010,83.8
 Sukhbaatar,40-44,Total,2009,89.7
 Sukhbaatar,40-44, Male,2025,92.9
 Sukhbaatar,40-44, Male,2024,98.4
 Sukhbaatar,40-44, Male,2023,96.1
 Sukhbaatar,40-44, Male,2022,89.5
 Sukhbaatar,40-44, Male,2021,98.4
 Sukhbaatar,40-44, Male,2020,66.4
 Sukhbaatar,40-44, Male,2019,88.8
 Sukhbaatar,40-44, Male,2018,91.7
 Sukhbaatar,40-44, Male,2017,81.8
 Sukhbaatar,40-44, Male,2016,94.7
 Sukhbaatar,40-44, Male,2015,100.0
 Sukhbaatar,40-44, Male,2014,89.7
 Sukhbaatar,40-44, Male,2013,88.5
 Sukhbaatar,40-44, Male,2012,90.9
 Sukhbaatar,40-44, Male,2011,94.2
 Sukhbaatar,40-44, Male,2010,83.9
 Sukhbaatar,40-44, Male,2009,90.7
 Sukhbaatar,40-44, Female,2025,96.2
 Sukhbaatar,40-44, Female,2024,91.2
 Sukhbaatar,40-44, Female,2023,92.8
 Sukhbaatar,40-44, Female,2022,88.7
 Sukhbaatar,40-44, Female,2021,98.1
 Sukhbaatar,40-44, Female,2020,73.5
 Sukhbaatar,40-44, Female,2019,94.6
 Sukhbaatar,40-44, Female,2018,90.0
 Sukhbaatar,40-44, Female,2017,84.2
 Sukhbaatar,40-44, Female,2016,86.9
 Sukhbaatar,40-44, Female,2015,96.7
 Sukhbaatar,40-44, Female,2014,79.0
 Sukhbaatar,40-44, Female,2013,89.2
 Sukhbaatar,40-44, Female,2012,97.6
 Sukhbaatar,40-44, Female,2011,87.9
 Sukhbaatar,40-44, Female,2010,83.7
 Sukhbaatar,40-44, Female,2009,88.6
 Sukhbaatar,45-49,Total,2025,88.5
 Sukhbaatar,45-49,Total,2024,90.6
 Sukhbaatar,45-49,Total,2023,95.9
 Sukhbaatar,45-49,Total,2022,76.1
 Sukhbaatar,45-49,Total,2021,95.9
 Sukhbaatar,45-49,Total,2020,85.9
 Sukhbaatar,45-49,Total,2019,93.1
 Sukhbaatar,45-49,Total,2018,86.9
 Sukhbaatar,45-49,Total,2017,84.9
 Sukhbaatar,45-49,Total,2016,85.2
 Sukhbaatar,45-49,Total,2015,84.7
 Sukhbaatar,45-49,Total,2014,87.4
 Sukhbaatar,45-49,Total,2013,87.7
 Sukhbaatar,45-49,Total,2012,93.7
 Sukhbaatar,45-49,Total,2011,84.9
 Sukhbaatar,45-49,Total,2010,87.7
 Sukhbaatar,45-49,Total,2009,78.3
 Sukhbaatar,45-49, Male,2025,92.1
 Sukhbaatar,45-49, Male,2024,96.5
 Sukhbaatar,45-49, Male,2023,95.8
 Sukhbaatar,45-49, Male,2022,90.0
 Sukhbaatar,45-49, Male,2021,96.0
 Sukhbaatar,45-49, Male,2020,96.4
 Sukhbaatar,45-49, Male,2019,93.6
 Sukhbaatar,45-49, Male,2018,91.1
 Sukhbaatar,45-49, Male,2017,84.9
 Sukhbaatar,45-49, Male,2016,77.6
 Sukhbaatar,45-49, Male,2015,95.0
 Sukhbaatar,45-49, Male,2014,85.7
 Sukhbaatar,45-49, Male,2013,87.4
 Sukhbaatar,45-49, Male,2012,96.7
 Sukhbaatar,45-49, Male,2011,78.9
 Sukhbaatar,45-49, Male,2010,87.6
 Sukhbaatar,45-49, Male,2009,80.7
 Sukhbaatar,45-49, Female,2025,83.8
 Sukhbaatar,45-49, Female,2024,85.7
 Sukhbaatar,45-49, Female,2023,96.0
 Sukhbaatar,45-49, Female,2022,66.4
 Sukhbaatar,45-49, Female,2021,95.9
 Sukhbaatar,45-49, Female,2020,77.2
 Sukhbaatar,45-49, Female,2019,92.5
 Sukhbaatar,45-49, Female,2018,81.4
 Sukhbaatar,45-49, Female,2017,84.9
 Sukhbaatar,45-49, Female,2016,94.0
 Sukhbaatar,45-49, Female,2015,74.5
 Sukhbaatar,45-49, Female,2014,89.1
 Sukhbaatar,45-49, Female,2013,88.0
 Sukhbaatar,45-49, Female,2012,91.0
 Sukhbaatar,45-49, Female,2011,89.3
 Sukhbaatar,45-49, Female,2010,87.8
 Sukhbaatar,45-49, Female,2009,76.6
 Sukhbaatar,50-54,Total,2025,81.3
 Sukhbaatar,50-54,Total,2024,84.0
 Sukhbaatar,50-54,Total,2023,92.2
 Sukhbaatar,50-54,Total,2022,84.6
 Sukhbaatar,50-54,Total,2021,88.9
 Sukhbaatar,50-54,Total,2020,70.8
 Sukhbaatar,50-54,Total,2019,85.2
 Sukhbaatar,50-54,Total,2018,69.2
 Sukhbaatar,50-54,Total,2017,79.3
 Sukhbaatar,50-54,Total,2016,75.8
 Sukhbaatar,50-54,Total,2015,82.9
 Sukhbaatar,50-54,Total,2014,75.2
 Sukhbaatar,50-54,Total,2013,68.6
 Sukhbaatar,50-54,Total,2012,74.8
 Sukhbaatar,50-54,Total,2011,70.5
 Sukhbaatar,50-54,Total,2010,73.5
 Sukhbaatar,50-54,Total,2009,83.5
 Sukhbaatar,50-54, Male,2025,90.5
 Sukhbaatar,50-54, Male,2024,82.0
 Sukhbaatar,50-54, Male,2023,93.6
 Sukhbaatar,50-54, Male,2022,85.0
 Sukhbaatar,50-54, Male,2021,97.2
 Sukhbaatar,50-54, Male,2020,73.5
 Sukhbaatar,50-54, Male,2019,93.5
 Sukhbaatar,50-54, Male,2018,70.3
 Sukhbaatar,50-54, Male,2017,72.7
 Sukhbaatar,50-54, Male,2016,85.3
 Sukhbaatar,50-54, Male,2015,92.4
 Sukhbaatar,50-54, Male,2014,81.6
 Sukhbaatar,50-54, Male,2013,73.9
 Sukhbaatar,50-54, Male,2012,83.9
 Sukhbaatar,50-54, Male,2011,76.0
 Sukhbaatar,50-54, Male,2010,84.0
 Sukhbaatar,50-54, Male,2009,82.6
 Sukhbaatar,50-54, Female,2025,72.1
 Sukhbaatar,50-54, Female,2024,86.8
 Sukhbaatar,50-54, Female,2023,91.0
 Sukhbaatar,50-54, Female,2022,84.4
 Sukhbaatar,50-54, Female,2021,79.7
 Sukhbaatar,50-54, Female,2020,69.0
 Sukhbaatar,50-54, Female,2019,76.0
 Sukhbaatar,50-54, Female,2018,68.4
 Sukhbaatar,50-54, Female,2017,85.1
 Sukhbaatar,50-54, Female,2016,70.6
 Sukhbaatar,50-54, Female,2015,74.1
 Sukhbaatar,50-54, Female,2014,69.0
 Sukhbaatar,50-54, Female,2013,63.7
 Sukhbaatar,50-54, Female,2012,66.6
 Sukhbaatar,50-54, Female,2011,64.2
 Sukhbaatar,50-54, Female,2010,63.2
 Sukhbaatar,50-54, Female,2009,84.1
 Sukhbaatar,55-59,Total,2025,55.5
 Sukhbaatar,55-59,Total,2024,73.6
 Sukhbaatar,55-59,Total,2023,75.1
 Sukhbaatar,55-59,Total,2022,36.2
 Sukhbaatar,55-59,Total,2021,55.7
 Sukhbaatar,55-59,Total,2020,52.2
 Sukhbaatar,55-59,Total,2019,51.0
 Sukhbaatar,55-59,Total,2018,68.4
 Sukhbaatar,55-59,Total,2017,49.5
 Sukhbaatar,55-59,Total,2016,60.3
 Sukhbaatar,55-59,Total,2015,51.6
 Sukhbaatar,55-59,Total,2014,61.5
 Sukhbaatar,55-59,Total,2013,48.5
 Sukhbaatar,55-59,Total,2012,74.3
 Sukhbaatar,55-59,Total,2011,46.6
 Sukhbaatar,55-59,Total,2010,75.7
 Sukhbaatar,55-59,Total,2009,40.3
 Sukhbaatar,55-59, Male,2025,62.4
 Sukhbaatar,55-59, Male,2024,84.0
 Sukhbaatar,55-59, Male,2023,85.5
 Sukhbaatar,55-59, Male,2022,46.0
 Sukhbaatar,55-59, Male,2021,54.5
 Sukhbaatar,55-59, Male,2020,68.8
 Sukhbaatar,55-59, Male,2019,65.2
 Sukhbaatar,55-59, Male,2018,74.1
 Sukhbaatar,55-59, Male,2017,63.5
 Sukhbaatar,55-59, Male,2016,74.2
 Sukhbaatar,55-59, Male,2015,67.9
 Sukhbaatar,55-59, Male,2014,81.8
 Sukhbaatar,55-59, Male,2013,60.0
 Sukhbaatar,55-59, Male,2012,83.2
 Sukhbaatar,55-59, Male,2011,73.0
 Sukhbaatar,55-59, Male,2010,79.2
 Sukhbaatar,55-59, Male,2009,51.7
 Sukhbaatar,55-59, Female,2025,51.8
 Sukhbaatar,55-59, Female,2024,63.9
 Sukhbaatar,55-59, Female,2023,64.2
 Sukhbaatar,55-59, Female,2022,27.3
 Sukhbaatar,55-59, Female,2021,57.3
 Sukhbaatar,55-59, Female,2020,28.4
 Sukhbaatar,55-59, Female,2019,37.3
 Sukhbaatar,55-59, Female,2018,63.4
 Sukhbaatar,55-59, Female,2017,35.8
 Sukhbaatar,55-59, Female,2016,44.4
 Sukhbaatar,55-59, Female,2015,37.9
 Sukhbaatar,55-59, Female,2014,44.5
 Sukhbaatar,55-59, Female,2013,38.9
 Sukhbaatar,55-59, Female,2012,68.7
 Sukhbaatar,55-59, Female,2011,27.7
 Sukhbaatar,55-59, Female,2010,72.0
 Sukhbaatar,55-59, Female,2009,21.8
 Sukhbaatar,60-64,Total,2025,56.6
 Sukhbaatar,60-64,Total,2024,43.1
 Sukhbaatar,60-64,Total,2023,34.0
 Sukhbaatar,60-64,Total,2022,41.0
 Sukhbaatar,60-64,Total,2021,26.9
 Sukhbaatar,60-64,Total,2020,40.5
 Sukhbaatar,60-64,Total,2019,48.3
 Sukhbaatar,60-64,Total,2018,30.6
 Sukhbaatar,60-64,Total,2017,34.3
 Sukhbaatar,60-64,Total,2016,29.3
 Sukhbaatar,60-64,Total,2015,38.0
 Sukhbaatar,60-64,Total,2014,32.4
 Sukhbaatar,60-64,Total,2013,46.5
 Sukhbaatar,60-64,Total,2012,58.8
 Sukhbaatar,60-64,Total,2011,53.9
 Sukhbaatar,60-64,Total,2010,52.0
 Sukhbaatar,60-64,Total,2009,32.0
 Sukhbaatar,60-64, Male,2025,42.4
 Sukhbaatar,60-64, Male,2024,53.9
 Sukhbaatar,60-64, Male,2023,58.4
 Sukhbaatar,60-64, Male,2022,59.2
 Sukhbaatar,60-64, Male,2021,42.6
 Sukhbaatar,60-64, Male,2020,69.8
 Sukhbaatar,60-64, Male,2019,65.7
 Sukhbaatar,60-64, Male,2018,23.1
 Sukhbaatar,60-64, Male,2017,38.3
 Sukhbaatar,60-64, Male,2016,30.8
 Sukhbaatar,60-64, Male,2015,48.4
 Sukhbaatar,60-64, Male,2014,32.4
 Sukhbaatar,60-64, Male,2013,41.8
 Sukhbaatar,60-64, Male,2012,83.1
 Sukhbaatar,60-64, Male,2011,58.5
 Sukhbaatar,60-64, Male,2010,45.7
 Sukhbaatar,60-64, Male,2009,48.9
 Sukhbaatar,60-64, Female,2025,69.3
 Sukhbaatar,60-64, Female,2024,34.8
 Sukhbaatar,60-64, Female,2023,17.4
 Sukhbaatar,60-64, Female,2022,32.0
 Sukhbaatar,60-64, Female,2021,10.5
 Sukhbaatar,60-64, Female,2020,12.0
 Sukhbaatar,60-64, Female,2019,38.7
 Sukhbaatar,60-64, Female,2018,37.2
 Sukhbaatar,60-64, Female,2017,29.5
 Sukhbaatar,60-64, Female,2016,28.1
 Sukhbaatar,60-64, Female,2015,32.3
 Sukhbaatar,60-64, Female,2014,32.4
 Sukhbaatar,60-64, Female,2013,55.3
 Sukhbaatar,60-64, Female,2012,45.0
 Sukhbaatar,60-64, Female,2011,48.0
 Sukhbaatar,60-64, Female,2010,60.6
 Sukhbaatar,60-64, Female,2009,16.3
 Sukhbaatar,65-69,Total,2025,35.3
 Sukhbaatar,65-69,Total,2024,19.4
 Sukhbaatar,65-69,Total,2023,36.8
 Sukhbaatar,65-69,Total,2022,24.4
 Sukhbaatar,65-69,Total,2021,17.2
 Sukhbaatar,65-69,Total,2020,26.3
 Sukhbaatar,65-69,Total,2019,21.0
 Sukhbaatar,65-69,Total,2018,33.8
 Sukhbaatar,65-69,Total,2017,18.7
 Sukhbaatar,65-69,Total,2016,36.4
 Sukhbaatar,65-69,Total,2015,27.6
 Sukhbaatar,65-69,Total,2014,47.8
 Sukhbaatar,65-69,Total,2013,15.2
 Sukhbaatar,65-69,Total,2012,33.4
 Sukhbaatar,65-69,Total,2011,25.6
 Sukhbaatar,65-69,Total,2010,20.4
 Sukhbaatar,65-69,Total,2009,38.6
 Sukhbaatar,65-69, Male,2025,34.0
 Sukhbaatar,65-69, Male,2024,32.3
 Sukhbaatar,65-69, Male,2023,43.9
 Sukhbaatar,65-69, Male,2022,14.7
 Sukhbaatar,65-69, Male,2021,35.5
 Sukhbaatar,65-69, Male,2020,26.8
 Sukhbaatar,65-69, Male,2019,36.7
 Sukhbaatar,65-69, Male,2018,28.2
 Sukhbaatar,65-69, Male,2017,29.6
 Sukhbaatar,65-69, Male,2016,59.2
 Sukhbaatar,65-69, Male,2015,34.2
 Sukhbaatar,65-69, Male,2014,46.3
 Sukhbaatar,65-69, Male,2013,40.5
 Sukhbaatar,65-69, Male,2012,40.8
 Sukhbaatar,65-69, Male,2011,73.3
 Sukhbaatar,65-69, Male,2010,15.1
 Sukhbaatar,65-69, Male,2009,29.5
 Sukhbaatar,65-69, Female,2025,36.1
 Sukhbaatar,65-69, Female,2024,9.4
 Sukhbaatar,65-69, Female,2023,31.7
 Sukhbaatar,65-69, Female,2022,34.4
 Sukhbaatar,65-69, Female,2021,10.8
 Sukhbaatar,65-69, Female,2020,26.1
 Sukhbaatar,65-69, Female,2019,10.8
 Sukhbaatar,65-69, Female,2018,38.5
 Sukhbaatar,65-69, Female,2017,10.9
 Sukhbaatar,65-69, Female,2016,11.1
 Sukhbaatar,65-69, Female,2015,25.0
 Sukhbaatar,65-69, Female,2014,49.6
 Sukhbaatar,65-69, Female,2013,6.9
 Sukhbaatar,65-69, Female,2012,0.0
 Sukhbaatar,65-69, Female,2011,8.3
 Sukhbaatar,65-69, Female,2010,24.5
 Sukhbaatar,65-69, Female,2009,53.1
 Sukhbaatar,70+,Total,2025,1.9
 Sukhbaatar,70+,Total,2024,6.8
 Sukhbaatar,70+,Total,2023,20.5
 Sukhbaatar,70+,Total,2022,8.9
 Sukhbaatar,70+,Total,2021,7.2
 Sukhbaatar,70+,Total,2020,34.7
 Sukhbaatar,70+,Total,2019,7.6
 Sukhbaatar,70+,Total,2018,6.4
 Sukhbaatar,70+,Total,2017,6.5
 Sukhbaatar,70+,Total,2016,10.3
 Sukhbaatar,70+,Total,2015,5.9
 Sukhbaatar,70+,Total,2014,3.6
 Sukhbaatar,70+,Total,2013,9.9
 Sukhbaatar,70+,Total,2012,14.9
 Sukhbaatar,70+,Total,2011,13.8
 Sukhbaatar,70+,Total,2010,6.0
 Sukhbaatar,70+,Total,2009,17.0
 Sukhbaatar,70+, Male,2025,0.0
 Sukhbaatar,70+, Male,2024,0.0
 Sukhbaatar,70+, Male,2023,36.0
 Sukhbaatar,70+, Male,2022,8.9
 Sukhbaatar,70+, Male,2021,19.2
 Sukhbaatar,70+, Male,2020,49.8
 Sukhbaatar,70+, Male,2019,0.0
 Sukhbaatar,70+, Male,2018,14.5
 Sukhbaatar,70+, Male,2017,18.4
 Sukhbaatar,70+, Male,2016,12.8
 Sukhbaatar,70+, Male,2015,8.4
 Sukhbaatar,70+, Male,2014,0.0
 Sukhbaatar,70+, Male,2013,12.7
 Sukhbaatar,70+, Male,2012,19.2
 Sukhbaatar,70+, Male,2011,40.4
 Sukhbaatar,70+, Male,2010,7.5
 Sukhbaatar,70+, Male,2009,25.5
 Sukhbaatar,70+, Female,2025,2.8
 Sukhbaatar,70+, Female,2024,8.4
 Sukhbaatar,70+, Female,2023,10.5
 Sukhbaatar,70+, Female,2022,8.9
 Sukhbaatar,70+, Female,2021,1.9
 Sukhbaatar,70+, Female,2020,29.7
 Sukhbaatar,70+, Female,2019,13.0
 Sukhbaatar,70+, Female,2018,0.0
 Sukhbaatar,70+, Female,2017,0.0
 Sukhbaatar,70+, Female,2016,7.3
 Sukhbaatar,70+, Female,2015,4.5
 Sukhbaatar,70+, Female,2014,5.0
 Sukhbaatar,70+, Female,2013,8.5
 Sukhbaatar,70+, Female,2012,13.4
 Sukhbaatar,70+, Female,2011,0.0
 Sukhbaatar,70+, Female,2010,5.0
 Sukhbaatar,70+, Female,2009,13.0
 Khentii,Total,Total,2025,65.4
 Khentii,Total,Total,2024,64.7
 Khentii,Total,Total,2023,70.1
 Khentii,Total,Total,2022,71.0
 Khentii,Total,Total,2021,72.2
 Khentii,Total,Total,2020,65.4
 Khentii,Total,Total,2019,67.3
 Khentii,Total,Total,2018,55.8
 Khentii,Total,Total,2017,56.4
 Khentii,Total,Total,2016,64.6
 Khentii,Total,Total,2015,65.9
 Khentii,Total,Total,2014,63.2
 Khentii,Total,Total,2013,68.5
 Khentii,Total,Total,2012,64.6
 Khentii,Total,Total,2011,52.4
 Khentii,Total,Total,2010,46.7
 Khentii,Total,Total,2009,48.6
 Khentii,Total, Male,2025,71.4
 Khentii,Total, Male,2024,70.1
 Khentii,Total, Male,2023,76.4
 Khentii,Total, Male,2022,76.8
 Khentii,Total, Male,2021,75.7
 Khentii,Total, Male,2020,73.1
 Khentii,Total, Male,2019,70.8
 Khentii,Total, Male,2018,61.3
 Khentii,Total, Male,2017,65.5
 Khentii,Total, Male,2016,70.0
 Khentii,Total, Male,2015,71.0
 Khentii,Total, Male,2014,69.1
 Khentii,Total, Male,2013,72.5
 Khentii,Total, Male,2012,69.2
 Khentii,Total, Male,2011,56.0
 Khentii,Total, Male,2010,46.8
 Khentii,Total, Male,2009,53.2
 Khentii,Total, Female,2025,59.8
 Khentii,Total, Female,2024,59.2
 Khentii,Total, Female,2023,64.1
 Khentii,Total, Female,2022,65.3
 Khentii,Total, Female,2021,68.3
 Khentii,Total, Female,2020,57.3
 Khentii,Total, Female,2019,63.7
 Khentii,Total, Female,2018,50.6
 Khentii,Total, Female,2017,47.4
 Khentii,Total, Female,2016,59.0
 Khentii,Total, Female,2015,61.2
 Khentii,Total, Female,2014,57.8
 Khentii,Total, Female,2013,64.5
 Khentii,Total, Female,2012,60.7
 Khentii,Total, Female,2011,48.6
 Khentii,Total, Female,2010,46.5
 Khentii,Total, Female,2009,44.7
 Khentii,15-19,Total,2025,11.3
 Khentii,15-19,Total,2024,11.2
 Khentii,15-19,Total,2023,13.3
 Khentii,15-19,Total,2022,12.1
 Khentii,15-19,Total,2021,16.6
 Khentii,15-19,Total,2020,16.2
 Khentii,15-19,Total,2019,13.1
 Khentii,15-19,Total,2018,15.7
 Khentii,15-19,Total,2017,7.6
 Khentii,15-19,Total,2016,11.0
 Khentii,15-19,Total,2015,8.6
 Khentii,15-19,Total,2014,8.7
 Khentii,15-19,Total,2013,20.0
 Khentii,15-19,Total,2012,34.0
 Khentii,15-19,Total,2011,13.3
 Khentii,15-19,Total,2010,10.6
 Khentii,15-19,Total,2009,4.9
 Khentii,15-19, Male,2025,19.7
 Khentii,15-19, Male,2024,16.7
 Khentii,15-19, Male,2023,24.7
 Khentii,15-19, Male,2022,18.5
 Khentii,15-19, Male,2021,12.3
 Khentii,15-19, Male,2020,25.6
 Khentii,15-19, Male,2019,20.4
 Khentii,15-19, Male,2018,22.2
 Khentii,15-19, Male,2017,15.1
 Khentii,15-19, Male,2016,8.5
 Khentii,15-19, Male,2015,14.8
 Khentii,15-19, Male,2014,14.2
 Khentii,15-19, Male,2013,25.4
 Khentii,15-19, Male,2012,40.6
 Khentii,15-19, Male,2011,16.9
 Khentii,15-19, Male,2010,12.9
 Khentii,15-19, Male,2009,12.1
 Khentii,15-19, Female,2025,0.0
 Khentii,15-19, Female,2024,3.1
 Khentii,15-19, Female,2023,1.4
 Khentii,15-19, Female,2022,6.8
 Khentii,15-19, Female,2021,23.3
 Khentii,15-19, Female,2020,5.8
 Khentii,15-19, Female,2019,2.9
 Khentii,15-19, Female,2018,6.8
 Khentii,15-19, Female,2017,1.6
 Khentii,15-19, Female,2016,14.4
 Khentii,15-19, Female,2015,1.8
 Khentii,15-19, Female,2014,2.3
 Khentii,15-19, Female,2013,13.3
 Khentii,15-19, Female,2012,27.3
 Khentii,15-19, Female,2011,9.0
 Khentii,15-19, Female,2010,8.2
 Khentii,15-19, Female,2009,0.0
 Khentii,20-24,Total,2025,50.3
 Khentii,20-24,Total,2024,36.6
 Khentii,20-24,Total,2023,81.0
 Khentii,20-24,Total,2022,55.7
 Khentii,20-24,Total,2021,55.3
 Khentii,20-24,Total,2020,50.9
 Khentii,20-24,Total,2019,71.8
 Khentii,20-24,Total,2018,49.6
 Khentii,20-24,Total,2017,49.8
 Khentii,20-24,Total,2016,55.4
 Khentii,20-24,Total,2015,66.1
 Khentii,20-24,Total,2014,61.6
 Khentii,20-24,Total,2013,63.4
 Khentii,20-24,Total,2012,60.3
 Khentii,20-24,Total,2011,33.7
 Khentii,20-24,Total,2010,43.6
 Khentii,20-24,Total,2009,37.2
 Khentii,20-24, Male,2025,54.9
 Khentii,20-24, Male,2024,51.9
 Khentii,20-24, Male,2023,88.0
 Khentii,20-24, Male,2022,83.3
 Khentii,20-24, Male,2021,66.3
 Khentii,20-24, Male,2020,61.1
 Khentii,20-24, Male,2019,72.2
 Khentii,20-24, Male,2018,53.7
 Khentii,20-24, Male,2017,59.6
 Khentii,20-24, Male,2016,69.9
 Khentii,20-24, Male,2015,77.8
 Khentii,20-24, Male,2014,77.6
 Khentii,20-24, Male,2013,70.4
 Khentii,20-24, Male,2012,71.4
 Khentii,20-24, Male,2011,42.7
 Khentii,20-24, Male,2010,47.7
 Khentii,20-24, Male,2009,46.3
 Khentii,20-24, Female,2025,37.2
 Khentii,20-24, Female,2024,24.0
 Khentii,20-24, Female,2023,72.8
 Khentii,20-24, Female,2022,25.9
 Khentii,20-24, Female,2021,41.6
 Khentii,20-24, Female,2020,36.4
 Khentii,20-24, Female,2019,71.5
 Khentii,20-24, Female,2018,43.7
 Khentii,20-24, Female,2017,34.4
 Khentii,20-24, Female,2016,41.2
 Khentii,20-24, Female,2015,53.5
 Khentii,20-24, Female,2014,46.9
 Khentii,20-24, Female,2013,51.0
 Khentii,20-24, Female,2012,51.5
 Khentii,20-24, Female,2011,24.2
 Khentii,20-24, Female,2010,40.2
 Khentii,20-24, Female,2009,32.6
 Khentii,25-29,Total,2025,79.3
 Khentii,25-29,Total,2024,95.6
 Khentii,25-29,Total,2023,92.9
 Khentii,25-29,Total,2022,92.4
 Khentii,25-29,Total,2021,91.2
 Khentii,25-29,Total,2020,94.6
 Khentii,25-29,Total,2019,83.8
 Khentii,25-29,Total,2018,62.6
 Khentii,25-29,Total,2017,65.6
 Khentii,25-29,Total,2016,81.7
 Khentii,25-29,Total,2015,77.0
 Khentii,25-29,Total,2014,78.7
 Khentii,25-29,Total,2013,85.2
 Khentii,25-29,Total,2012,76.0
 Khentii,25-29,Total,2011,65.4
 Khentii,25-29,Total,2010,53.6
 Khentii,25-29,Total,2009,72.3
 Khentii,25-29, Male,2025,100.0
 Khentii,25-29, Male,2024,100.0
 Khentii,25-29, Male,2023,100.0
 Khentii,25-29, Male,2022,100.0
 Khentii,25-29, Male,2021,100.0
 Khentii,25-29, Male,2020,96.2
 Khentii,25-29, Male,2019,92.3
 Khentii,25-29, Male,2018,73.3
 Khentii,25-29, Male,2017,77.9
 Khentii,25-29, Male,2016,86.6
 Khentii,25-29, Male,2015,88.7
 Khentii,25-29, Male,2014,91.9
 Khentii,25-29, Male,2013,90.9
 Khentii,25-29, Male,2012,73.9
 Khentii,25-29, Male,2011,72.0
 Khentii,25-29, Male,2010,57.5
 Khentii,25-29, Male,2009,74.8
 Khentii,25-29, Female,2025,59.2
 Khentii,25-29, Female,2024,83.7
 Khentii,25-29, Female,2023,83.0
 Khentii,25-29, Female,2022,83.2
 Khentii,25-29, Female,2021,85.0
 Khentii,25-29, Female,2020,92.1
 Khentii,25-29, Female,2019,76.6
 Khentii,25-29, Female,2018,53.8
 Khentii,25-29, Female,2017,56.2
 Khentii,25-29, Female,2016,76.4
 Khentii,25-29, Female,2015,65.6
 Khentii,25-29, Female,2014,65.3
 Khentii,25-29, Female,2013,80.9
 Khentii,25-29, Female,2012,77.9
 Khentii,25-29, Female,2011,58.4
 Khentii,25-29, Female,2010,48.4
 Khentii,25-29, Female,2009,67.3
 Khentii,30-34,Total,2025,90.7
 Khentii,30-34,Total,2024,88.2
 Khentii,30-34,Total,2023,72.3
 Khentii,30-34,Total,2022,90.2
 Khentii,30-34,Total,2021,94.5
