id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Үүсгэн байгуулсан он,Сургууль,Барилгын дугаар,Хичээлийн байрны дугаар,Ашиглалтад орсон он,Нэр
5270,,,Point,106.839345,47.914275,Ерөнхий боловсролын сургууль,"СХД 15-р хороо, Барилгачны гудамж С86",,Ирээдүй ЦС 2-р бага сургууль /86-р сургууль/,,2,2008,Ирээдүй ЦС 2-р бага сургууль /86-р сургууль/
5271,,,Point,106.815576,47.919609,Ерөнхий боловсролын сургууль,"СХД 19-р хороо, Үйлдвэрчний эвлэлийн гудамж 105",,Глобал их оюун бага сургууль,,,2016,Глобал их оюун бага сургууль
5272,,,Point,106.909176,47.918939,Ерөнхий боловсролын сургууль,"ЧД 1-р хороо, Ноён Хутагт Данзанравжаагийн гудамж С23",,23-р сургууль,,1,1957,23-р сургууль
5273,,,Point,106.911835,47.948582,Ерөнхий боловсролын сургууль,"ЧД 13-р хороо, Чингэлтэй өргөн чөлөө С17",,17-р сургууль,,2,2009,17-р сургууль
5274,,,Point,106.898763,47.960155,Ерөнхий боловсролын сургууль,"ЧД 15-р хороо, Хайлаастын гудамж С72",,72-р сургууль,,2,2001,72-р сургууль
5275,,,Point,106.906838,47.936109,Ерөнхий боловсролын сургууль,"ЧД 10-р хороо, Э.Галданбошготын гудамж С39",,39-р сургууль,,1,1969,39-р сургууль
5276,,,Point,106.904386,47.94502,Ерөнхий боловсролын сургууль,"ЧД 12-р хороо, Дэнжийн мянга гудамж С61",,61-р сургууль,,2,2006,61-р сургууль
5277,,,Point,106.940018,47.92197,Ерөнхий боловсролын сургууль,"БЗД 3-р хороо, Их тойруу С33/2",,33-р сургууль,,2,2009,33-р сургууль
5278,,,Point,106.936613,47.925682,Ерөнхий боловсролын сургууль,"БЗД 1-р хороо,Токиогийн гудамж С48",,48-р сургууль,,1,1968,48-р сургууль
5279,,,Point,106.980388,47.920988,Ерөнхий боловсролын сургууль,"БЗД 16-р хороо, Улаанхуаран гудамж С44/2",,44-р сургууль,,2,2008,44-р сургууль
5280,,,Point,106.986449,47.915603,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, Цагдаагийн академийн өргөн чөлөө С68/2",,Баянзүрх ЦС,,2,,Баянзүрх ЦС
5281,,,Point,107.004938,47.932546,Ерөнхий боловсролын сургууль,"БЗД 17-р хороо, Шархадны гудамж С79",,79-р сургууль /1-р байр/,,3,1986,79-р сургууль /1-р байр/
5282,,,Point,107.008143,47.934276,Ерөнхий боловсролын сургууль,"БЗД 9-р хороо, Шархадны гудамж С79",,79-р сургууль /2-р байр/,,2,1995,79-р сургууль /2-р байр/
5283,,,Point,106.996308,47.920179,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, Хилчний гудамж С92",,92-р сургууль,,1,2014,92-р сургууль
5284,,,Point,107.002643,47.913707,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, Цагдаагийн академийн өргөн чөлөө С27/1",,Амгалан ЦС,,2,2012,Амгалан ЦС
5285,,,Point,106.938888,47.916271,Ерөнхий боловсролын сургууль,"БЗД 18-р хороо, Сангийн хорооны гудамж С84",,84-р сургууль,,2,2017,84-р сургууль
5286,,,Point,107.036041,47.918071,Ерөнхий боловсролын сургууль,"БЗД 23-р хороо, Гачууртын зам С87",,87-р сургууль,,2,2007,87-р сургууль
5287,,,Point,106.995622,47.914423,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, Хилчний гудамж ХСИС байр",,ХСИС-ийн харьяа ахлах сургууль,,1,,ХСИС-ийн харьяа ахлах сургууль
5288,,,Point,106.934838,47.915063,Ерөнхий боловсролын сургууль,"БЗД 6-р хороо, Сангийн хорооны гудамж 50",,Арвис сургууль,,1,2012,Арвис сургууль
5289,,,Point,106.939372,47.921921,Ерөнхий боловсролын сургууль,"БЗД 3-р хороо, Цэнд гүний гудамж 31",,Шилдэг сургууль,,,2015,Шилдэг сургууль
5290,,,Point,106.969986,47.942006,Ерөнхий боловсролын сургууль,"БЗД 22-р хороо, Баруун Алтан-Өлгийн гудамж С137",,137-р бага сургууль,,2,2017,137-р бага сургууль
5291,,,Point,106.943471,47.913512,Ерөнхий боловсролын сургууль,"БЗД 18-р хороо, Намъянжугийн гудамж 40",,Гёте сургууль,,1,,Гёте сургууль
5292,,,Point,106.943083,47.903365,Ерөнхий боловсролын сургууль,"БЗД 26-р хороо, Нийслэл хүрээ өргөн чөлөө",,Сингапур скүүл оф монголиа сургууль,,,2015,Сингапур скүүл оф монголиа сургууль
5293,,,Point,106.937823,47.902156,Ерөнхий боловсролын сургууль,"БЗД 26-р хороо, Нийслэл хүрээ өргөн чөлөө 363",,Олонлог академи сургууль,,1,2017,Олонлог академи сургууль
5294,,,Point,106.76365,47.859193,Ерөнхий боловсролын сургууль,"ХУД 16-р хороо, Баруун Сонсголонгийн гудамж С7/1",,Буянт-Ухаа цогцолбор сургууль,,2,2001,Буянт-Ухаа цогцолбор сургууль
5295,,,Point,106.850353,47.875728,Ерөнхий боловсролын сургууль,"ХУД 4-р хороо, Наадамчдын зам 480А",,Шинэ монгол Харумафүжи сургууль,,1,2018,Шинэ монгол Харумафүжи сургууль
5296,,,Point,106.804137,47.865061,Ерөнхий боловсролын сургууль,ХУД 7-р хороо,2002,60-р сургууль,60,2,2002,60-р сургууль
5297,,,Point,106.910283,47.911208,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Усны гудамж 29",,Эрдмийн уурхай,,,2001,Эрдмийн уурхай
5298,,,Point,106.903184,47.970664,Ерөнхий боловсролын сургууль,"ЧД 17-р хороо, Чингэлтэйн гудамж С37/1",,37-р сургууль,,2,2002,37-р сургууль
5299,,,Point,106.893275,47.898454,Ерөнхий боловсролын сургууль,"ХУД 3-р хороо, Чингисийн өргөн чөлөө 39/2",,Монгол бизнесийн сургууль,,1,2013,Монгол бизнесийн сургууль
5300,,,Point,106.897521,47.890604,Ерөнхий боловсролын сургууль,"ХУД 15-р хороо, Туул гол гудамж 72",,Этүгэн сургууль,,1,2009,Этүгэн сургууль
5301,,,Point,106.83024,47.854206,Ерөнхий боловсролын сургууль,"ХУД 4-р хороо, Нүхтийн зам 13/5",,Алтан босго сургууль,,,,Алтан босго сургууль
5302,,,Point,106.909841,47.879082,Ерөнхий боловсролын сургууль,"ХУД 11-р хороо, Ар Зайсангийн гудамж 76",,Язгуур бага сургууль,,,2017,Язгуур бага сургууль
5303,,,Point,108.366883,47.783845,Ерөнхий боловсролын сургууль,"БНД 1-р хороо, Д.Нацагдоржийн гудамж С95/1",,Гүн галуутай ЦС /2-р байр/,,2,2009,Гүн галуутай ЦС /2-р байр/
5304,,,Point,108.392635,47.796713,Ерөнхий боловсролын сургууль,"БНД 5-р хороо, Хэрлэнгийн гудамж",,Оюуны эрин ЦС /2-р байр/,,2,2018,Оюуны эрин ЦС /2-р байр/
5305,,,Point,108.374384,47.783851,Ерөнхий боловсролын сургууль,"БНД 3-р хороо, Д.Нацагдоржийн гудамж 54",,Сод сургууль,,,1990,Сод сургууль
5306,,,Point,106.970177,47.915365,Ерөнхий боловсролын сургууль,"БЗД 13-р хороо, Энхтайваны өргөн чөлөө С14",,14-р сургууль,,1,2017,14-р сургууль
5307,,,Point,106.969407,47.915099,Ерөнхий боловсролын сургууль,"БЗД 13-р хороо, Энхтайваны өргөн чөлөө С14",,14-р сургууль,,2,2009,14-р сургууль
5308,,,Point,107.491033,47.352052,Ерөнхий боловсролын сургууль,"БХД 1-р хороо,",,Хангай ЦС /2-р байр/,,2,2011,Хангай ЦС /2-р байр/
5309,,,Point,106.906583,47.901796,Ерөнхий боловсролын сургууль,"ХУД 1-р хороо 19-р хороолол,",2012,52-р сургууль,52/1,2,2012,52-р сургууль
5310,,,Point,106.911288,47.915243,Ерөнхий боловсролын сургууль,"СБД 1-р хороо, Сөүлийн гудамж С1",,1-р сургууль,,2,2012,1-р сургууль
5311,,,Point,106.684752,47.779745,Ерөнхий боловсролын сургууль,"ХУД 14-р хороо,",2017,59-р сургууль,,2,2017,59-р сургууль
